CustomerID,TransactionDate,TransactionAmount,TransactionType
b3cac0d0-60fd-4307-9691-0034d8329021,2022-03-28,706.74,Deposit
b3cac0d0-60fd-4307-9691-0034d8329021,2022-12-01,1909.44,Withdrawal
b3cac0d0-60fd-4307-9691-0034d8329021,2022-04-07,536.63,Deposit
b3cac0d0-60fd-4307-9691-0034d8329021,2022-01-20,3607.59,Withdrawal
b3cac0d0-60fd-4307-9691-0034d8329021,2022-02-19,864.1,Deposit
b3cac0d0-60fd-4307-9691-0034d8329021,2022-08-05,2094.77,Deposit
b3cac0d0-60fd-4307-9691-0034d8329021,2022-07-03,2435.85,Deposit
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-05-15,4252.14,Deposit
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-10-21,4034.83,Withdrawal
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-09-24,1793.95,Deposit
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-08-25,2267.71,Withdrawal
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-04-28,4171.91,Deposit
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-02-28,2901.45,Deposit
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-09-27,3098.09,Withdrawal
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-04-05,3530.97,Withdrawal
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-03-08,3673.47,Withdrawal
a909c674-073e-4dc3-8d80-5c137fbe11e1,2022-10-14,2206.29,Withdrawal
288c1d30-b2a4-4d24-a5ec-0f80a186237f,2022-11-15,3555.84,Deposit
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-12-11,4414.08,Deposit
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-07-22,3789.41,Deposit
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-01-28,2399.44,Deposit
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-12-10,702.42,Withdrawal
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-08-01,2934.18,Deposit
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-04-01,3853.47,Withdrawal
e651b9cb-49ae-4d9e-b19f-62ce75e211cf,2022-06-28,2119.16,Deposit
ef220fd7-ba58-4e0a-a91d-1b2aee4971a0,2022-01-11,567.37,Withdrawal
ef220fd7-ba58-4e0a-a91d-1b2aee4971a0,2022-11-24,3592.92,Deposit
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-07-01,2484.76,Withdrawal
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-11-10,2329.9,Withdrawal
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-04-08,1640.41,Deposit
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-12-05,2729.93,Withdrawal
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-03-09,1356.76,Withdrawal
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-06-19,792.36,Deposit
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-01-13,4824.23,Deposit
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-01-21,4743.49,Withdrawal
b8f10a87-bfec-45e8-99cd-1076f3b40b21,2022-02-16,2893.92,Withdrawal
13349623-1386-4691-80fc-c4cf5745b326,2022-07-15,4361.12,Withdrawal
13349623-1386-4691-80fc-c4cf5745b326,2022-08-25,880.97,Deposit
13349623-1386-4691-80fc-c4cf5745b326,2022-08-18,2560.97,Deposit
13349623-1386-4691-80fc-c4cf5745b326,2022-03-11,2250.21,Deposit
13349623-1386-4691-80fc-c4cf5745b326,2022-02-19,952.05,Withdrawal
13349623-1386-4691-80fc-c4cf5745b326,2022-07-13,4368.43,Deposit
13349623-1386-4691-80fc-c4cf5745b326,2022-01-22,1797.55,Deposit
13349623-1386-4691-80fc-c4cf5745b326,2022-02-11,4674.39,Withdrawal
13349623-1386-4691-80fc-c4cf5745b326,2022-06-09,3203.17,Withdrawal
13349623-1386-4691-80fc-c4cf5745b326,2022-08-08,4592.94,Withdrawal
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-05-11,792.98,Deposit
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-02-25,1377.5,Withdrawal
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-02-07,4120.19,Withdrawal
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-04-13,3233.98,Withdrawal
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-08-06,4523.49,Deposit
b5efba09-ec4e-4730-a1dc-00defa521c5b,2022-09-07,4489.55,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-08-21,3359.31,Withdrawal
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-11-26,2848.74,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-10-05,4792.07,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-06-28,4449.91,Withdrawal
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-04-07,2960.1,Withdrawal
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-09-05,3317.45,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-11-27,2827.44,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-07-19,2643.12,Deposit
401b0bf2-04d2-4dfd-a19d-294284803dcc,2022-09-13,3928.91,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-06-13,2036.33,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-11-20,3914.0,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-11-03,880.29,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-07-02,1752.08,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-10-06,2853.65,Withdrawal
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-10-11,3013.9,Withdrawal
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-06-16,3012.71,Withdrawal
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-06-02,1449.81,Withdrawal
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-08-27,2405.45,Deposit
04b0eb0a-7b22-43c7-9301-62b7b380e5dc,2022-07-23,4465.31,Withdrawal
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-09-23,3636.88,Deposit
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-01-08,1788.9,Withdrawal
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-12-10,922.91,Deposit
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-02-16,3820.24,Deposit
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-12-11,4587.18,Withdrawal
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-01-17,1595.29,Deposit
0dfe8b82-5183-4c75-98e2-8375fad65cd9,2022-09-15,3425.94,Withdrawal
42355046-82ee-49cc-9912-05b3eddca5ad,2022-04-23,1507.86,Deposit
42355046-82ee-49cc-9912-05b3eddca5ad,2022-07-24,3960.11,Deposit
42355046-82ee-49cc-9912-05b3eddca5ad,2022-06-15,541.5,Deposit
42355046-82ee-49cc-9912-05b3eddca5ad,2022-12-13,3549.5,Withdrawal
42355046-82ee-49cc-9912-05b3eddca5ad,2022-12-10,4115.49,Withdrawal
42355046-82ee-49cc-9912-05b3eddca5ad,2022-08-21,2917.86,Deposit
42355046-82ee-49cc-9912-05b3eddca5ad,2022-02-09,4877.51,Deposit
42355046-82ee-49cc-9912-05b3eddca5ad,2022-11-01,3414.55,Withdrawal
42355046-82ee-49cc-9912-05b3eddca5ad,2022-11-09,1754.2,Withdrawal
42355046-82ee-49cc-9912-05b3eddca5ad,2022-10-24,3091.91,Deposit
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-02-19,4357.8,Withdrawal
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-02-26,4188.97,Withdrawal
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-08-19,857.86,Deposit
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-02-09,886.23,Deposit
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-01-09,3954.65,Deposit
cf221ac6-4411-475f-a50a-23dae2ec81ef,2022-10-01,1396.94,Deposit
387da1e7-b821-4ef8-b306-0e2f12e2b730,2022-10-08,2815.47,Deposit
57ffd54c-bc2d-4eb5-a41a-3aba325e685a,2022-06-13,3871.79,Deposit
57ffd54c-bc2d-4eb5-a41a-3aba325e685a,2022-03-01,3543.21,Deposit
57ffd54c-bc2d-4eb5-a41a-3aba325e685a,2022-03-21,612.28,Deposit
57ffd54c-bc2d-4eb5-a41a-3aba325e685a,2022-05-17,2501.63,Deposit
57ffd54c-bc2d-4eb5-a41a-3aba325e685a,2022-08-04,3130.41,Withdrawal
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-06-02,3482.28,Deposit
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-01-09,4128.71,Withdrawal
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-01-26,3276.23,Deposit
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-10-23,1956.77,Withdrawal
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-06-17,4907.52,Withdrawal
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-10-01,529.15,Withdrawal
1d628943-7857-44da-9472-6fb8f9f9e40c,2022-02-11,3924.94,Withdrawal
